1,1077280024,77010001,280024,บ้านหนองกก,bannongkok,นายวัชรินทร์ บัวด้วง,อนุบาล-ประถมศึกษา,,หมู่ 1 หนองกก,เกาะหลัก,เมืองประจวบคีรีขันธ์,ประจวบคีรีขันธ์,77000,-,-,อบต.เกาะหลัก,892006036,-,16/05/2519,14,8,ขนาดกลาง,มีไฟฟ้า,10,124,8,18 ตุลาคม 2562 เวลา 13:26:32 น.
2,1077280025,77010002,280025,บ้านทุ่งเคล็ด,banthungkled,นางวราพร คลังชะนัง,อนุบาล-ประถมศึกษา,,หมู่ 6 ทุ่งเคล็ด,เกาะหลัก,เมืองประจวบคีรีขันธ์,ประจวบคีรีขันธ์,77000,banthungkleid@hotmail.com,https://sites.google.com/site/rongreiynbanthungkheld/swn-thi-1-prawatikar-rab-rachkar-k-ph-7,อบต.เกาะหลัก,914061199,-,20/05/2502,15,6,ขนาดเล็ก,มีไฟฟ้า,11,82,8,21 มิถุนายน 2562 เวลา 14:27:37 น.
3,1077280030,77010005,280030,ด่านสิงขร,dansingkhon,นางทัศนีย์ พรมสอาด,อนุบาล-ประถมศึกษา,,หมู่ 6 ด่านสิงขร,คลองวาฬ,เมืองประจวบคีรีขันธ์,ประจวบคีรีขันธ์,77000,kumpol_hir@hotmail.com,www.dansingkhonschool.com,อบต.คลองวาฬ,32810562,-,04/02/2503,13,20,ขนาดกลาง,มีไฟฟ้า,11,158,8,29 มิถุนายน 2561 เวลา 15:03:20 น.
4,1077280031,77010006,280031,อุดมราชภักดี,udomrachapakdee,-,อนุบาล-ประถมศึกษา,,หมู่ 9 หนองน้ำขาว,คลองวาฬ,เมืองประจวบคีรีขันธ์,ประจวบคีรีขันธ์,77000,-,-,อบต.คลองวาฬ,-,-,17/05/2510,8,10,ขนาดเล็ก,มีไฟฟ้า,5,60,8,29 มิถุนายน 2562 เวลา 13:08:17 น.
5,1077280032,77010007,280032,บ้านทางหวาย,bantangwai,-,อนุบาล-ประถมศึกษา,,หมู่ 3 ทางหวาย,คลองวาฬ,เมืองประจวบคีรีขันธ์,ประจวบคีรีขันธ์,77000,bantangwai@gmail.com,-,อบต.คลองวาฬ,32654336,-,17/05/2515,6,12,ขนาดเล็ก,มีไฟฟ้า,6,49,8,10 ตุลาคม 2562 เวลา 10:20:52 น.
6,1077280033,77010008,280033,บ้านหนองหิน,bannonghin,-,อนุบาล-ประถมศึกษา,,หมู่ 2 หนองหิน,คลองวาฬ,เมืองประจวบคีรีขันธ์,ประจวบคีรีขันธ์,77000,bnhs.2554@hotmail.com,data.bopp-obec.info/web/index.php?School_ID=1077280033,อบต.คลองวาฬ,850145831,-,24/03/2480,0.2,9,ขนาดเล็ก,มีไฟฟ้า,6,26,8,17 พฤษภาคม 2562 เวลา 15:07:26 น.
7,1077280034,77010009,280034,บ้านคลองวาฬ,banklongwan,นายวีระ รุ่งแจ้ง,อนุบาล-มัธยมศึกษาตอนต้น,,หมู่ 1 คลองวาฬ,คลองวาฬ,เมืองประจวบคีรีขันธ์,ประจวบคีรีขันธ์,77000,-,-,เทศบาล ต.คลองวาฬ,32661317,32661317,01/01/2480,3,7,ขนาดกลาง,มีไฟฟ้า,21,264,11,05 มิถุนายน 2562 เวลา 15:10:47 น.
8,1077280035,77010010,280035,บ้านหว้ากอมิตรภาพที่ 72,banwaghormittapaptee 72,นางมณี อาจหาญ,อนุบาล-ประถมศึกษา,,หมู่ 4 หว้าโทน,คลองวาฬ,เมืองประจวบคีรีขันธ์,ประจวบคีรีขันธ์,77000,waghorschool@hotmail.com,-,อบต.คลองวาฬ,32510263,-,17/05/2513,1,13,ขนาดเล็ก,มีไฟฟ้า,11,104,9,04 กุมภาพันธ์ 2563 เวลา 16:20:50 น.
9,1077280036,77010011,280036,บ้านห้วยใหญ่,banhuaiyai,นางธัญญารัตน์ พูลสวัสดิ์,อนุบาล-ประถมศึกษา,,หมู่ 5 ห้วยใหญ่,คลองวาฬ,เมืองประจวบคีรีขันธ์,ประจวบคีรีขันธ์,77000,bhy896@gmail.com,-,อบต.คลองวาฬ,32640065,-,18/05/2518,10,20,ขนาดเล็ก,มีไฟฟ้า,6,73,8,18 มิถุนายน 2562 เวลา 14:39:28 น.
10,1077280037,77010012,280037,เศรษฐพานิชวิทยา,saedthapanichwittaya,นางจงกล พรมสอาด,อนุบาล-ประถมศึกษา,,หมู่ 4 สองกะลอน,ห้วยทราย,เมืองประจวบคีรีขันธ์,ประจวบคีรีขันธ์,77000,sedtapanitwittaya2555@hotmail.com,-,อบต.ห้วยทราย,32640068,-,27/08/2506,30,40,ขนาดเล็ก,มีไฟฟ้า,6,83,9,28 มิถุนายน 2561 เวลา 14:43:12 น.
