1,1034710126,34020001,710126,บ้านนาขนัน,,นายเริงฤทิ์ วิลามาศ,อนุบาล-ประถมศึกษา,,หมู่ 5 บ้านนาขนัน,แก้งเหนือ,เขมราฐ,อุบลราชธานี,34170,,,แก้งเหนือ,045-215016,,,50,15,ขนาดเล็ก,มีไฟฟ้า,9,94,8,06 มิถุนายน 2561 เวลา 22:06:38 น.
2,1034710127,34020002,710127,บ้านแก้งเหนือ,Ban Kangnua,นางเปรมวดี คำภาพันธ์,อนุบาล-ประถมศึกษา,กลุ่มเครือข่ายการศึกษาสองฝั่งสามัคคี,หมู่ 2 บ้านเรืองอุดม,แก้งเหนือ,เขมราฐ,อุบลราชธานี,34170,baankaengnuea.school@gmail.com,kaengnua.ubon2-ed.go.th/home/,แก้งเหนือ,045-218030,,15 สิงหาคม 2481,45,22,ขนาดกลาง,มีไฟฟ้า,16,215,8,05 มิถุนายน 2562 เวลา 13:30:40 น.
3,1034710128,34020003,710128,บ้านนาแมด,Bannamaed,นายอดุลย์ศักดิ์ ยืนนาน,อนุบาล-ประถมศึกษา,,หมู่ 7 บ้านนาแมด,แก้งเหนือ,เขมราฐ,อุบลราชธานี,34170,,www.facebook.com/schoolnamad,แก้งเหนือ,045-959773,,10/01/2501,56,28,ขนาดกลาง,มีไฟฟ้า,12,162,8,24 ตุลาคม 2562 เวลา 08:14:19 น.
4,1034710125,34020004,710125,บ้านนาตาลเหนือ,Bannatanua,นายไพบูลย์ จันทรักษา,อนุบาล-ประถมศึกษา,กลุ่มเครือข่ายการศึกษาสองฝั่งสามัคคี,หมู่ 2 บ้านนาตาล,ขามป้อม,เขมราฐ,อุบลราชธานี,34170,natannua@gmail.com,www.natannua.ac.th,ขามป้อม,045-215079,,16 มกราคม 2462,50,34,ขนาดกลาง,มีไฟฟ้า,20,309,14,20 มกราคม 2560 เวลา 10:08:45 น.
5,1034710123,34020005,710123,ชุมชนบ้านขามป้อม,Chumchonbankhampom,นายสุรสีห์ ผลจันทร์,อนุบาล-ประถมศึกษา,กลุ่มเครือข่ายการศึกษาสองฝั่งสามัคคี,หมู่ 14 บ้านโนนเจริญ,ขามป้อม,เขมราฐ,อุบลราชธานี,34170,Chumchonkhampom2561@gmail.com,www.ubon.obec.go.thkhra,ขามป้อม,045-215080,,,50,16,ขนาดกลาง,มีไฟฟ้า,16,237,11,12 มิถุนายน 2562 เวลา 13:09:32 น.
6,1034710124,34020006,710124,บ้านเตย(คุรุราษฎร์วิทยา),Bantoey(kururatwittaya),นายวันสุข ท่าหาญ,อนุบาล-ประถมศึกษา,,หมู่ 3 บ้านเตย,ขามป้อม,เขมราฐ,อุบลราชธานี,34170,,,ขามป้อม,094-3898964,,27 สิงหาคม 2481,52,10,ขนาดเล็ก,มีไฟฟ้า,7,91,8,20 ตุลาคม 2562 เวลา 17:03:55 น.
7,1034710100,34020007,710100,บ้านทรายพูล,BANSAIPOON,นางอิศราภรณ์ จิตร์กำแหง,อนุบาล-ประถมศึกษา,กลุ่มเครือข่ายการศึกษาสองฝั่งสามัคคี,หมู่ 6 บ้านโนนแดง,ขามป้อม,เขมราฐ,อุบลราชธานี,34170,saipoon_school@www.hotm,,ขามป้อม,045-491086,-,พ.ศ.2457,45,7,ขนาดเล็ก,มีไฟฟ้า,12,147,8,23 สิงหาคม 2562 เวลา 15:56:16 น.
8,1034710099,34020008,710099,บ้านนาสนามนาหว้าเกษม,Ban Nasanamnawakasem,นายปัญญา กาฬหว้า,อนุบาล-ประถมศึกษา,กลุ่มเครือข่ายการศึกษายมเหนือ,หมู่ 3 บ้านนาสนาม,เขมราฐ,เขมราฐ,อุบลราชธานี,34170,,ubon.obec.go.th,เทศบาลตำบลเทพวงศา,045-491883,,29 ธันวาคม 2477,62,6,ขนาดกลาง,มีไฟฟ้า,15,179,8,03 มิถุนายน 2562 เวลา 23:49:10 น.
9,1034710097,34020009,710097,บ้านไทรย้อย,Ban Saiyoi,นายทวีชัย อุลัยพันธ์,อนุบาล-ประถมศึกษา,,หมู่ 6 บ้านไทรย้อย,เขมราฐ,เขมราฐ,อุบลราชธานี,34170,-,-,เทศบาลตำบลเทพวงศา,834960637,-,พ.ศ.2514,50,3,ขนาดเล็ก,มีไฟฟ้า,9,82,8,25 มิถุนายน 2562 เวลา 14:43:14 น.
10,1034710098,34020010,710098,บ้านอูบมุงแก้งเกลี้ยง,๊Upmungkaengkliang School,นายพันเดช อรัญเวศ,อนุบาล-ประถมศึกษา,กลุ่มเครือข่ายการศึกษายมเหนือ,หมู่ 4 อูบมุง,เขมราฐ,เขมราฐ,อุบลราชธานี,34170,upmungkaengkliang.school@gmail.com,?http://ubon.obec.go.th,เขมราฐ,045-402385,,16 มิถุนายน 2484,66,10,ขนาดกลาง,มีไฟฟ้า,13,147,8,08 มิถุนายน 2562 เวลา 22:07:48 น.
