1,1027740091,27020001,740091,บ้านโคคลาน,BANKOKLAN,นายเอนก ผ่องแผ้ว,อนุบาล-ประถมศึกษา,,หมู่ 1 โคคลาน,โคคลาน,ตาพระยา,สระแก้ว,27180,bankoklan2011@gmail.com,www.bankoklan.org,โคคลาน,37269932,37269932,พ.ศ. 2515,44,16,ขนาดกลาง,มีไฟฟ้า,23,329,17,12 ตุลาคม 2561 เวลา 15:43:38 น.
2,1027740092,27020002,740092,ประเสริฐ-น้อย รุจิรวงศ์ 1,prasertnoy rujirawong 1,นายณัฐดนัย วัฒนสุข,อนุบาล-ประถมศึกษา,,หมู่ 5 สองพี่น้อง,โคคลาน,ตาพระยา,สระแก้ว,27180,rujirawong1@hotmail.com,-,โคคลาน,37243732,-,16 พฤษภาคม 2508,45,18,ขนาดกลาง,มีไฟฟ้า,14,199,8,20 มิถุนายน 2562 เวลา 16:37:28 น.
3,1027740095,27020003,740095,บ้านไทยสามัคคี,Banthaisamakkhi,นางกรรณิการ์ นันทะเทศ,อนุบาล-ประถมศึกษา,,หมู่ 4 บ้านไทยสามัคคี,โคคลาน,ตาพระยา,สระแก้ว,27180,,,โคคลาน,37550021,,28/03/2534,50,20,ขนาดกลาง,มีไฟฟ้า,13,158,8,24 มิถุนายน 2562 เวลา 18:58:26 น.
4,1027740097,27020004,740097,บ้านกุดเวียน,KUDWIAN SCHOOL,นายวินัย สุขพงษ์ไทย,อนุบาล-มัธยมศึกษาตอนต้น,,หมู่ 4 กุดเวียน,ตาพระยา,ตาพระยา,สระแก้ว,27180,kudwian104@gmail.com,,ตาพระยา,37243577,,15 มีนาคม 2480,60,9,ขนาดกลาง,มีไฟฟ้า,22,334,11,01 กรกฎาคม 2562 เวลา 21:51:10 น.
5,1027740093,27020005,740093,บ้านทัพเซียม,bantubsiam,นายสมศักดิ์ ทรงสุข,อนุบาล-ประถมศึกษา,,หมู่ 10 บ้านทัพเซียม,ตาพระยา,ตาพระยา,สระแก้ว,27180,bantubsiam@gmail.com,,ตาพระยา,37247550,37247550,4 สิงหาคม 2515,45,18,ขนาดกลาง,มีไฟฟ้า,12,162,8,27 มิถุนายน 2562 เวลา 09:17:36 น.
6,1027740090,27020006,740090,บ้านนางามมิตรภาพที่131,bannangammitapab131,นางนวลจันทร์ เตียวเจริญ,อนุบาล-มัธยมศึกษาตอนต้น,,หมู่ 9 นางาม,ตาพระยา,ตาพระยา,สระแก้ว,27180,bannangarm131@gmail.com,www.skarea 2.org/cs28,ตาพระยา,37269809,37269810,6 มิถุนายน 2482,47,13,ขนาดกลาง,มีไฟฟ้า,29,480,20,13 ธันวาคม 2562 เวลา 13:56:23 น.
7,1027740088,27020007,740088,กองทัพบกอุทิศบ้านหนองไผ่,kongtupbukautidbannongpai,นางนทีกานต์ บุตรคง,อนุบาล-ประถมศึกษา,,หมู่ 5 บ้านหนองไผ่,ตาพระยา,ตาพระยา,สระแก้ว,27180,nongpai_sk2@hotmail.com,www.sakaeo2.org/sakaeo9,ตาพระยา,-,-,31 ธันวาคม 2514,50,4,ขนาดเล็ก,มีไฟฟ้า,11,106,8,22 มกราคม 2563 เวลา 12:29:47 น.
8,1027740089,27020008,740089,บ้านแก้วเพชรพลอย,bankaewpetploy,นายวิเชษฐ นวนแก้ว,อนุบาล-ประถมศึกษา,,หมู่ 8 บ้านแก้วเพชรพลอย,ตาพระยา,ตาพระยา,สระแก้ว,27180,bankaew7@gmail.com,,ตาพระยา,37243648,,2512,45,5,ขนาดกลาง,มีไฟฟ้า,14,143,8,13 กรกฎาคม 2561 เวลา 15:13:51 น.
9,1027740087,27020009,740087,อนุบาลตาพระยา,Anubantaphaya,นายวุฒนะ ฉิมมาลา,อนุบาล-ประถมศึกษา,,หมู่ 1 ตาพระยา,ตาพระยา,ตาพระยา,สระแก้ว,27180,Anb.tpy@gmail.com,Anubantaphraya.ac.th,เทศบาลตำบลตาพระยา,37269068,37269068,15/05/2476,50,0.5,ขนาดกลาง,มีไฟฟ้า,25,436,16,16 มิถุนายน 2562 เวลา 15:38:32 น.
10,1027740100,27020010,740100,บ้านตะโก,bantago,นางสุภัทรา เกียววานิชย์,อนุบาล-ประถมศึกษา,,หมู่ 3 ตะโก,ตาพระยา,ตาพระยา,สระแก้ว,27180,bantago@hotmail.co.th,,ตาพระยา,37550102,-,10/06/2498,60,10,ขนาดกลาง,มีไฟฟ้า,15,190,8,19 มกราคม 2561 เวลา 09:20:46 น.
