1,1053690134,53020001,690134,ท่าปลาอนุสรณ์ 2,Thaplaanusorn2,-,อนุบาล-ประถมศึกษา,,หมู่ 4 เลิศชัย,จริม,ท่าปลา,อุตรดิตถ์,53150,thapla_2@hotmail.com,,เทศบาลตำบลจริม,0-5549-9347,55499515,14 พฤษภาคม 2514,57,5,ขนาดเล็ก,มีไฟฟ้า,10,104,8,11 ธันวาคม 2562 เวลา 13:04:10 น.
2,1053690135,53020002,690135,บ้านสีเสียดบํารุง,banseesead,นายดำเนิน ฝั้นถา,อนุบาล-มัธยมศึกษาตอนต้น,,หมู่ 2 ท่าวังโปร่ง,จริม,ท่าปลา,อุตรดิตถ์,53150,bansriseadbumrung@gmail.com,,จริม,0-55818057,55818057,09/06/2514,58,5,ขนาดกลาง,มีไฟฟ้า,19,214,11,11 ธันวาคม 2562 เวลา 13:07:22 น.
3,1053690136,53020003,690136,นิคมสร้างตนเองลำน้ำน่านสงเคราะห์ 5,nikomsrangton-englumnumnansongkrao5,-,อนุบาล-ประถมศึกษา,,หมู่ 1 ปากดง,จริม,ท่าปลา,อุตรดิตถ์,53150,school_53020003@outlook.com,-,จริม,-,-,30/11/2516,60,7,ขนาดเล็ก,มีไฟฟ้า,7,62,8,17 มิถุนายน 2562 เวลา 07:58:36 น.
4,1053690137,53020004,690137,คุรุประชาสรรค์ศึกษา,Kuruprachasansuksa,นายวิศิษฐ์ เสียงโต,อนุบาล-ประถมศึกษา,,หมู่ 5 เนินสูง,จริม,ท่าปลา,อุตรดิตถ์,53150,-,-,จริม,05543-0026,-,01/05/2514,56,6,ขนาดเล็ก,มีไฟฟ้า,10,42,8,11 ธันวาคม 2562 เวลา 13:10:45 น.
5,1053690138,53020005,690138,จริมอนุสรณ์ 2,Jarimanusonsong,นายนวพล ศรีพิชัย,อนุบาล-มัธยมศึกษาตอนต้น,,หมู่ 8 ชัยมงคล,จริม,ท่าปลา,อุตรดิตถ์,53150,-,-,จริม,55049807,-,25 พฤษภาคม 2513,56,4,ขนาดเล็ก,มีไฟฟ้า,11,110,11,11 ธันวาคม 2562 เวลา 13:32:02 น.
6,1053690139,53020006,690139,ท่าแฝกอนุสรณ์ 4,Thafakanuson 4,นายมนต์สะกันฑ์ เท็นผม,อนุบาล-ประถมศึกษา,,หมู่ 13 ท่าใหม่,จริม,ท่าปลา,อุตรดิตถ์,53150,,,จริม,55430030,,,59,7,ขนาดเล็ก,มีไฟฟ้า,9,73,8,11 ธันวาคม 2562 เวลา 13:36:58 น.
7,1053690142,53020007,690142,บ้านกิ่วเคียน,bankeawkeaw,-,อนุบาล-ประถมศึกษา,,หมู่ 12 กิ่วเคียน,จริม,ท่าปลา,อุตรดิตถ์,53150,kanya.rat1234@windowslive.com,-,จริม,0-5543-0028,-,2500,67,15,ขนาดเล็ก,มีไฟฟ้า,7,18,8,11 ธันวาคม 2562 เวลา 13:37:35 น.
8,1053690127,53020008,690127,ท่าปลาอนุสรณ์ 1,Thapla – anusorn 1,นายนิรุจน์ นาสม,อนุบาล-ประถมศึกษา,,หมู่ 1 ท่าปลา,ท่าปลา,ท่าปลา,อุตรดิตถ์,53150,thaplanuson1@gmail.com,www.thaplanuson1.com,ท่าปลา,0-5549-9116,0-5549-9116,1 พฤษภาคม 2514,54,1,ขนาดใหญ่,มีไฟฟ้า,29,612,24,11 ธันวาคม 2562 เวลา 13:38:48 น.
9,1053690128,53020009,690128,นิคมสร้างตนเองลำน้ำน่านสงเคราะห์ 4,Nikhomsangton-eng Lamnam Nan Songkhro 4,นางสาวอธินา ขัดผาบ,อนุบาล-ประถมศึกษา,,หมู่ 12 สามร้อยเมตร,ท่าปลา,ท่าปลา,อุตรดิตถ์,53150,-,-,ท่าปลา,0-5549-9444,-,พ.ศ. 2515,58,4,ขนาดเล็ก,มีไฟฟ้า,8,43,8,18 มิถุนายน 2562 เวลา 10:28:36 น.
10,1053690129,53020010,690129,น้ำสิงห์(สนง.สลากกินแบ่งสงเคราะห์ที่78),Numsing school,นางดารารัตน์ จันทร์กาย,อนุบาล-ประถมศึกษา,,หมู่ 5 น้ำสิงห์ใต้,ท่าปลา,ท่าปลา,อุตรดิตถ์,53150,,,ท่าปลา,-,-,2482,51,5,ขนาดเล็ก,มีไฟฟ้า,10,63,8,18 กุมภาพันธ์ 2563 เวลา 10:24:10 น.
