1,1052500298,52020005,500298,บ้านท่าผา,Banthapha,นางธนัสสรณ์ ปินะจิรฉัตร,อนุบาล-ประถมศึกษา,,หมู่ 4 ท่าผา,ท่าผา,เกาะคา,ลำปาง,52130,banthapa.b@gmail.com,-,เกาะคา,54281510,-,พ.ศ. 2455,1.5,0.1,ขนาดเล็ก,มีไฟฟ้า,15,153,9,11 มิถุนายน 2562 เวลา 19:28:23 น.
2,1052500272,52020006,500272,บ้านศาลาสามัคคี,Sala Samakkhi,นางสมจิตร ทองหล่ำ,อนุบาล-ประถมศึกษา,,หมู่ 8 บ้านศาลาบัวบก,ท่าผา,เกาะคา,ลำปาง,52130,sala.samukke@gmail.com,,ท่าผา,54281505,,01 กรกฎาคม 2481,3,5,ขนาดเล็ก,มีไฟฟ้า,11,67,8,14 มิถุนายน 2562 เวลา 09:48:41 น.
3,1052500285,52020007,500285,บ้านจอมปิง,Bann Jomping School,-,อนุบาล-ประถมศึกษา,,หมู่ 8 พระธาตุจอมปิง,นาแก้ว,เกาะคา,ลำปาง,52130,jompingschool@gmail.com,,เทศบาลตำบลนาแก้ว,895619864,-,2471,12,11,ขนาดเล็ก,มีไฟฟ้า,4,57,9,02 มิถุนายน 2562 เวลา 21:44:11 น.
4,1052500286,52020008,500286,สบต๋ำวิทยา (แปงภักดีอุปถัมภ์),Sobtamwittaya,นายหยวด ปันใจ,อนุบาล-มัธยมศึกษาตอนต้น,,หมู่ 3 สบต๋ำ,นาแก้ว,เกาะคา,ลำปาง,52130,Sobtamwittaya70@gmaill.com,Sobtamwittayaschool,เทศบาลตำบลนาแก้ว,54362486,54362486,1 กรกฎาคม 2481,16,15,ขนาดเล็ก,มีไฟฟ้า,17,114,11,15 พฤศจิกายน 2562 เวลา 15:25:18 น.
5,1052500289,52020011,500289,บ้านนาแก้วประชารัฐ,Bannakaewpracharat,นางสาวทัศนาวรรณ ชลพล,อนุบาล-มัธยมศึกษาตอนต้น,,หมู่ 4 บ้านนาแก้วตะวันตก,นาแก้ว,เกาะคา,ลำปาง,52130,nakaewpacharat.school@gmail.com,www.bnks.ac.th,นาแก้ว,-,,29/11/2442,14,13,ขนาดกลาง,มีไฟฟ้า,17,121,11,03 ตุลาคม 2562 เวลา 10:26:39 น.
6,1052500290,52020012,500290,บ้านสองแควใต้,Songquaretai,นายชาญวิทย์ โพธิ์รัง,อนุบาล-ประถมศึกษา,,หมู่ 2 สองแควใต้,นาแก้ว,เกาะคา,ลำปาง,52130,skt52020012@gmail.com,-,นาแก้ว,-,-,พ.ศ.2468,7.3,6.5,ขนาดเล็ก,มีไฟฟ้า,9,54,8,26 กันยายน 2562 เวลา 14:50:57 น.
7,1052500291,52020014,500291,วัดหาดปู่ด้าย,wathadpudai,นายเทวฤทธิ์ สิทธิวัฒนาเกษม,อนุบาล-ประถมศึกษา,,หมู่ 1 บ้านหาดปู่ด้าย,นาแส่ง,เกาะคา,ลำปาง,52130,-,-,อบต.นาแส่ง,54019904,-,1 พฤษภาคม 2485,29,27,ขนาดเล็ก,มีไฟฟ้า,6,46,9,05 มิถุนายน 2562 เวลา 13:03:56 น.
8,1052500282,52020016,500282,วัดนาแก้ว,Watnakeaw,นายนพปฏล จิรากูล,อนุบาล-มัธยมศึกษาตอนต้น,,หมู่ 3 บ้านนาแก้ว,นาแส่ง,เกาะคา,ลำปาง,52130,nakeaw52020016@gmail.com,,องค์การบริหารส่วนตำบลนาแส่ง,54362444,54362444,29/11/2442,14,12,ขนาดเล็ก,มีไฟฟ้า,9,89,12,13 มิถุนายน 2562 เวลา 12:07:45 น.
9,1052500292,52020019,500292,ชุมชนวัดพระธาตุลำปางหลวง,CHUMCHONWATPRATATLAMPANGLUONG,นายไพโรจน์ พงษ์บุผา,อนุบาล-ประถมศึกษา,,หมู่ 1 ลำปางหลวง,ลำปางหลวง,เกาะคา,ลำปาง,52130,lampangluang2019@gmail.com,,ลำปางหลวง,54832778,-,2464,5,4,ขนาดเล็ก,มีไฟฟ้า,15,118,8,10 มิถุนายน 2562 เวลา 13:07:25 น.
10,1052500278,52020024,500278,บ้านแม่หลง-สบจาง,Maelong-Sobjang School,นายสากล วงศ์หล้า,อนุบาล-ประถมศึกษา,,หมู่ 1 แม่หลง,วังพร้าว,เกาะคา,ลำปาง,52130,,,เทศบาลตำบลวังพร้าว,54349336,,พ.ศ. 2481,9,7.5,ขนาดเล็ก,มีไฟฟ้า,6,60,8,13 มิถุนายน 2562 เวลา 14:42:27 น.
11,1052500279,52020025,500279,วังพร้าววิทยา,wangpraowittaya,นายชยพล ศรีประดิษฐ์,อนุบาล-มัธยมศึกษาตอนต้น,,หมู่ 2 วังพร้าว,วังพร้าว,เกาะคา,ลำปาง,52130,contact@wangprao.ac.th,wangprao.ac.th,เทศบาลตำบลวังพร้าว,054-349216,054-349216,2468,7,7,ขนาดกลาง,มีไฟฟ้า,18,154,11,14 ตุลาคม 2562 เวลา 07:44:55 น.
